corretora;produto;banco;liquidez;prazo;indexador;rentabilidade;valmin
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;365;1;10400;5000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;730;1;10600;5000
3;1;BANCO INDUSVAL;N;365;1;10600;5000
3;1;BANCO FIBRA SA;N;1826;3;745;20000
3;1;BANCO ORIGINAL S/A;N;1095;4;1302;50000
3;1;BANCO TOPAZIO S.A;N;1080;1;10300;5000
3;1;BANCO ORIGINAL S/A;N;1095;1;11700;50000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;185;1;10250;5000
3;1;BANCO INDUSVAL;N;730;1;11200;5000
3;1;BANCO FIBRA SA;N;1800;4;1367;10000
3;1;BANCO BMG S.A;N;900;1;11600;5000
3;1;BANCO PAN S/A;S;730;1;10100;5000
3;1;BANCO FIBRA SA;S;730;1;10100;5000
3;1;BANCO DAYCOVAL S/A;N;361;1;10350;20000
3;1;BANCO FIBRA SA;N;365;4;1210;5000
3;1;BANCO TOPAZIO S.A;N;730;1;11200;5000
3;1;BANCO PINE S/A;N;1095;3;716;5000
3;1;BANCO ORIGINAL S/A;N;365;4;1233;50000
3;1;HAITONG;N;365;1;10650;5000
3;1;BANCO PARANA S.A;N;730;1;11000;5000
3;1;BANCO VOTORANTIM;N;730;1;10100;5000
3;1;BR PARTNERS BANCO DE INVESTIMENTO S.A.;N;90;1;10050;5000
3;1;BANCO BMG S.A;N;1461;1;11800;5000
3;1;BANCO FIBRA SA;N;1461;1;11750;5000
3;1;BANCO PARANA S.A;N;545;1;10650;5000
3;1;BANCO PARANA S.A;N;185;1;10300;5000
3;1;BANCO BMG S.A;N;90;1;10200;5000
3;1;BANCO PINE S/A;N;730;3;699;5000
3;1;BANCO CAIXA GERAL BR S.A;N;181;1;10250;10000
3;1;BANCO FIBRA SA;N;730;1;11200;5000
3;1;BANCO BMG S.A;N;1095;1;11650;5000
3;1;OLE BONSUCESSO CONSIGNADO S/A;S;1080;1;9900;5000
3;1;HAITONG;N;730;1;10800;5000
3;1;BANCO BMG S.A;N;1095;3;750;5000
3;1;BANCO MIZUHO DO BRASIL;S;721;1;9600;5000
3;1;BANCO DAYCOVAL S/A;N;182;1;10150;20000
3;1;BANCO FIDIS S/A;N;365;1;10100;5000
3;1;BANCO BMG S.A;N;730;1;11200;5000
3;1;BANCO INTERMEDIUM S/A;S;730;1;10100;5000
3;1;BANCO BMG S.A;N;1260;4;1318;5000
3;1;BANCO FIBRA SA;N;900;4;1265;5000
3;1;BANCO CAIXA GERAL BR S.A;N;365;1;10450;10000
3;1;BANCO FIBRA SA;N;900;1;11540;5000
3;1;BANCO BMG S.A;N;900;4;1283;5000
3;1;BANCO ORIGINAL S/A;N;730;4;1257;50000
3;1;BANCO BONSUCESSO S.A;N;730;1;11100;5000
3;1;BANCO PINE S/A;N;1095;1;11700;5000
3;1;BANCO BMG S.A;N;730;3;695;5000
3;1;BANCO FIBRA SA;N;1095;3;725;20000
3;1;BANCO ORIGINAL S/A;N;730;3;712;50000
3;1;BANCO FIBRA SA;N;730;4;1235;5000
3;1;BANCO BMG S.A;N;185;1;10600;5000
3;1;BANCO FIBRA SA;N;1095;1;11700;5000
3;1;BANCO PARANA S.A;N;365;1;10550;5000
3;1;BANCO ABC BRASIL S.A.;N;365;1;10050;50000
